id;client_id;card_brand;card_type;card_number;expires;cvv;has_chip;num_cards_issued;credit_limit;acct_open_date;year_pin_last_changed;card_on_dark_web
2014;1880;Mastercard;Debit;5,45692E+15;dez/21;553;NO;1;$14719;mar/00;2008;No
4906;1880;Mastercard;Debit;5,13266E+15;mai/21;593;YES;1;$9532;set/17;2017;No
3757;1880;Mastercard;Credit;5,75287E+15;mar/20;486;YES;1;$10900;jul/06;2014;No
5365;322;Mastercard;Credit;5,49423E+15;set/24;428;YES;2;$6200;nov/01;2012;No
5425;322;Mastercard;Debit;5,78964E+15;dez/12;43;YES;2;$2903;nov/05;2011;No
5758;322;Mastercard;Debit;5,39296E+15;out/20;803;YES;2;$4355;dez/99;2010;No
5482;461;Mastercard;Debit;5,18282E+15;abr/21;126;YES;1;$28963;nov/07;2012;No
3172;461;Mastercard;Debit;5,10235E+15;dez/22;667;YES;2;$20913;mai/16;2016;No
1209;461;Mastercard;Debit;5,03314E+15;jul/24;170;YES;1;$23344;fev/10;2010;No
5313;461;Mastercard;Debit;5,61152E+15;jan/20;882;YES;2;$33642;out/16;2016;No
4762;1165;Mastercard;Debit;5,0374E+15;jan/22;681;YES;1;$14695;set/10;2011;No
126;1448;Mastercard;Credit;5,57136E+15;set/23;510;YES;1;$13200;jan/07;2015;No
4685;1448;Visa;Debit;4,08303E+15;jan/20;173;YES;1;$29950;set/08;2013;No
5907;1448;Visa;Credit;4,82992E+15;jul/24;768;YES;2;$4600;dez/07;2011;No
2428;1288;Mastercard;Debit;5,45849E+15;dez/22;92;YES;1;$10051;abr/02;2011;No
1013;1288;Mastercard;Debit;5,87909E+15;dez/15;729;YES;2;$9796;fev/03;2013;No
5145;1178;Mastercard;Debit;5,76944E+15;out/21;957;YES;1;$17826;out/09;2009;No
5854;1178;Mastercard;Debit;5,5888E+15;nov/24;778;YES;1;$19086;dez/06;2009;No
5296;1178;Visa;Debit;4,41069E+15;jun/24;265;YES;2;$17345;out/14;2014;No
1327;1178;Visa;Debit;4,47082E+15;set/20;923;YES;2;$17976;fev/13;2013;No
383;1178;Visa;Debit;4,80434E+15;jan/22;279;YES;2;$16447;jan/19;2019;No
5129;1391;Visa;Debit;4,19436E+15;out/24;271;YES;2;$29573;out/08;2009;No
5995;1391;Mastercard;Debit (Prepaid);5,43647E+15;dez/21;48;YES;2;$98;dez/10;2010;No
4107;1391;Mastercard;Debit;5,64887E+15;ago/19;71;YES;2;$2559;ago/02;2012;No
36;1391;Mastercard;Debit;5,91424E+15;out/12;436;YES;2;$6552;jan/03;2010;No
445;838;Mastercard;Credit;5,19378E+15;jan/21;591;YES;2;$13800;jan/20;2020;No
1466;54;Mastercard;Debit;5,95793E+15;ago/20;746;YES;1;$16375;fev/20;2020;No
749;54;Visa;Debit;4,55706E+15;mai/23;780;YES;1;$14213;jan/20;2020;No
1772;54;Visa;Debit (Prepaid);4,88322E+15;set/20;2;YES;1;$73;fev/20;2020;No
3801;1452;Mastercard;Debit;5,47641E+15;nov/22;688;YES;2;$53466;jul/07;2013;No
282;1602;Visa;Credit;4,69894E+15;set/20;450;YES;1;$6600;jan/11;2013;No
6105;1602;Mastercard;Credit;5,57915E+15;jun/22;806;NO;2;$7200;dez/15;2015;No
446;1938;Mastercard;Debit;5,09961E+15;nov/20;856;YES;1;$2868;jan/20;2020;No
422;1938;Discover;Credit;6,1775E+15;mai/24;97;YES;1;$3400;jan/20;2020;No
5231;1492;Mastercard;Debit;5,18813E+15;jan/22;446;YES;1;$12915;out/11;2013;No
2615;1492;Visa;Debit (Prepaid);4,86032E+15;dez/23;366;YES;2;$84;abr/09;2017;No
2776;1492;Discover;Credit;6,4176E+15;jul/21;504;YES;2;$17600;abr/18;2018;No
5452;1492;Mastercard;Debit;5,51672E+15;dez/12;621;YES;1;$31542;nov/06;2009;No
3563;1492;Mastercard;Debit;5,89105E+15;fev/22;362;YES;2;$23049;jun/13;2013;No
6134;1492;Visa;Debit;4,22257E+15;mai/20;141;YES;1;$29734;dez/17;2017;No
4818;1492;Visa;Credit;4,45374E+15;jan/20;346;YES;2;$27000;set/11;2016;No
2171;1492;Mastercard;Debit (Prepaid);5,33598E+15;nov/22;320;YES;1;$18;mar/08;2010;No
6106;688;Mastercard;Debit;5,70815E+15;abr/23;824;YES;1;$17848;dez/15;2015;No
3042;688;Mastercard;Debit;5,23868E+15;nov/22;870;NO;1;$25563;mai/10;2010;No
5209;688;Visa;Credit;4,74088E+15;abr/20;168;YES;2;$12000;out/10;2010;No
1296;688;Amex;Credit;3,61649E+14;nov/18;709;NO;2;$6600;fev/12;2012;No
389;749;Amex;Credit;3,63306E+14;set/23;943;NO;1;$5600;jan/20;2020;No
1773;749;Visa;Debit;4,36086E+15;nov/22;428;YES;3;$11873;fev/20;2020;No
1467;749;Mastercard;Credit;5,49802E+15;fev/20;871;YES;1;$7200;fev/20;2020;No
1395;643;Amex;Credit;3,81573E+14;ago/24;145;YES;1;$10000;fev/20;2020;No
5597;643;Mastercard;Credit;5,0793E+15;abr/23;381;YES;2;$500;nov/10;2010;No
1468;1219;Mastercard;Debit;5,547E+15;fev/20;718;YES;1;$22697;fev/20;2020;No
2309;1219;Mastercard;Credit;5,32603E+15;ago/23;437;YES;1;$18000;mar/13;2013;No
3466;1219;Mastercard;Debit;5,09615E+15;out/24;862;YES;1;$32903;jun/10;2010;No
2804;1198;Visa;Debit;4,48987E+15;ago/21;547;YES;2;$12764;mai/99;2010;No
1388;1198;Mastercard;Credit;5,62173E+15;out/22;60;YES;1;$6300;fev/19;2019;No
4660;898;Mastercard;Debit;5,92314E+15;fev/22;934;YES;2;$7541;set/08;2013;No
3356;898;Visa;Debit;4,44799E+15;mar/22;995;YES;2;$1266;jun/07;2012;No
4870;898;Mastercard;Credit;5,00031E+15;abr/20;263;NO;1;$9500;set/14;2014;No
3467;882;Mastercard;Debit;5,70731E+15;abr/20;203;YES;2;$1837;jun/10;2010;No
1079;882;Mastercard;Debit;5,86499E+15;ago/23;258;YES;2;$17453;fev/06;2008;No
2977;348;Visa;Debit;4,22889E+15;out/13;543;NO;1;$28283;mai/08;2012;No
3073;348;Visa;Credit;4,21024E+15;abr/20;160;YES;1;$13500;mai/10;2012;No
3554;348;Visa;Credit;4,87707E+15;jul/14;786;YES;2;$13300;jun/12;2012;No
2597;633;Mastercard;Debit;5,55804E+15;set/21;69;YES;2;$17941;abr/09;2009;No
3489;1493;Visa;Credit;4,6425E+15;abr/18;594;YES;1;$14400;jun/10;2012;No
4003;1493;Visa;Credit;4,2444E+15;abr/20;120;YES;1;$4400;jul/12;2012;No
1469;1493;Mastercard;Credit;5,15744E+15;mar/20;657;YES;1;$13000;fev/20;2020;No
1774;1493;Visa;Debit;4,07952E+15;abr/23;72;YES;2;$22701;fev/20;2020;No
1470;1161;Mastercard;Credit;5,59712E+15;ago/24;934;NO;1;$16100;fev/20;2020;No
1471;1161;Mastercard;Debit;5,80837E+15;set/23;138;YES;2;$7629;fev/20;2020;No
2691;217;Mastercard;Debit;5,5655E+15;mar/22;430;NO;1;$16538;abr/12;2012;No
174;217;Visa;Debit;4,07289E+15;dez/20;578;YES;2;$22746;jan/08;2010;No
1364;217;Mastercard;Debit;5,16193E+15;jul/16;743;YES;1;$9737;fev/16;2016;No
1266;217;Mastercard;Credit;5,35936E+15;jul/19;428;YES;1;$6500;fev/11;2014;No
1267;217;Mastercard;Debit;5,09351E+15;jun/20;889;YES;2;$2650;fev/11;2013;No
207;217;Visa;Credit;4,40979E+15;mai/12;839;YES;2;$8200;jan/09;2011;No
5448;217;Amex;Credit;3,73326E+14;jan/22;204;YES;2;$6200;nov/06;2013;No
5449;1877;Amex;Credit;3,66837E+14;jan/21;803;YES;2;$22600;nov/06;2014;No
2107;1877;Mastercard;Debit;5,26026E+15;mai/24;428;YES;2;$6940;mar/06;2009;No
2398;1877;Mastercard;Debit;5,91194E+15;mar/24;410;YES;2;$23408;abr/96;2008;No
5414;1877;Visa;Credit;4,22628E+15;set/22;966;YES;2;$9700;nov/04;2007;No
3758;668;Mastercard;Debit;5,625E+15;jun/24;992;NO;2;$10538;jul/06;2006;No
4097;668;Mastercard;Debit;5,75221E+15;mar/23;385;YES;2;$6853;ago/01;2006;No
5778;668;Mastercard;Debit;5,47002E+15;out/20;598;YES;2;$607;dez/02;2010;No
4318;668;Mastercard;Credit;5,7646E+15;ago/21;397;YES;1;$0;ago/10;2010;No
5015;668;Visa;Debit;4,37835E+15;jun/21;644;YES;2;$8253;out/04;2011;No
750;533;Visa;Debit;4,4152E+15;set/20;847;YES;2;$8492;jan/20;2020;No
242;203;Visa;Credit;4,71631E+15;jul/22;275;YES;1;$9100;jan/10;2010;No
3966;203;Mastercard;Credit;5,17541E+15;abr/22;497;NO;2;$2600;jul/11;2011;No
5375;203;Mastercard;Credit;5,07943E+15;mai/24;813;NO;1;$7300;nov/02;2010;No
5166;1738;Visa;Credit;4,84159E+15;ago/20;207;YES;1;$15000;out/09;2009;No
1472;1738;Mastercard;Credit;5,13334E+15;abr/24;497;YES;2;$18700;fev/20;2020;No
751;1738;Visa;Debit;4,04469E+15;mai/21;579;YES;1;$21458;jan/20;2020;No
5623;1738;Visa;Credit;4,82518E+15;abr/20;635;NO;1;$15700;nov/10;2014;No
6099;713;Mastercard;Debit;5,53306E+15;jan/20;13;YES;2;$20765;dez/14;2014;No
1473;713;Mastercard;Debit;5,13781E+15;jun/22;170;NO;2;$18101;fev/20;2020;No
1775;713;Visa;Credit;4,40955E+15;nov/24;528;YES;1;$8400;fev/20;2020;No
447;713;Mastercard;Debit;5,16971E+15;mar/20;66;YES;1;$1737;jan/20;2020;No
1474;1631;Mastercard;Credit;5,78214E+15;fev/20;217;YES;2;$20900;fev/20;2020;No
1776;1631;Visa;Credit;4,4501E+15;nov/21;601;YES;1;$23700;fev/20;2020;No
448;1631;Mastercard;Credit;5,29808E+15;nov/21;989;YES;1;$17500;jan/20;2020;No
5978;1487;Visa;Debit;4,91189E+15;jun/24;769;YES;1;$26083;dez/09;2009;No
2978;1487;Visa;Debit;4,39401E+15;out/22;943;YES;1;$31589;mai/08;2008;No
4946;1487;Visa;Credit;4,98411E+15;jun/21;453;YES;2;$24200;out/00;2013;No
1475;1265;Mastercard;Debit;5,65888E+15;fev/20;190;YES;2;$18321;fev/20;2020;No
5376;370;Mastercard;Debit;5,37713E+15;out/22;94;YES;2;$7551;nov/02;2010;No
4127;370;Mastercard;Debit;5,60682E+15;jun/14;451;YES;1;$15377;ago/04;2011;No
5093;370;Visa;Debit;4,5017E+15;mar/23;324;YES;1;$12990;out/07;2016;No
3490;370;Visa;Debit;4,0151E+15;fev/23;494;YES;1;$8509;jun/10;2010;No
5702;1014;Visa;Debit;4,4672E+15;nov/14;176;YES;1;$96907;nov/14;2014;No
2200;1014;Visa;Credit;4,08147E+15;jul/15;45;YES;1;$43900;mar/08;2013;No
5436;1014;Visa;Debit (Prepaid);4,8683E+15;out/20;440;YES;2;$76;nov/05;2007;No
449;290;Mastercard;Debit;5,84371E+15;jan/20;533;YES;2;$50915;jan/20;2020;No
1777;290;Visa;Debit;4,05231E+15;dez/21;369;YES;2;$31767;fev/20;2020;No
3862;985;Visa;Credit;4,22989E+15;abr/24;82;YES;2;$13200;jul/08;2010;No
1268;985;Mastercard;Credit;5,93695E+15;out/22;372;YES;2;$16000;fev/11;2012;No
752;985;Visa;Debit;4,74846E+15;jul/24;223;YES;2;$18132;jan/20;2020;No
2704;985;Visa;Credit;4,86279E+15;fev/19;466;YES;1;$300;abr/12;2012;No
2808;135;Mastercard;Debit;5,73684E+15;nov/22;714;YES;2;$2236;mai/00;2015;No
4791;135;Visa;Debit;4,52885E+15;ago/19;451;YES;2;$21591;set/10;2010;No
1476;307;Mastercard;Debit;5,9568E+15;abr/20;927;YES;2;$11521;fev/20;2020;No
753;307;Visa;Credit;4,94983E+15;jun/20;561;NO;1;$8600;jan/20;2020;No
4112;1783;Amex;Credit;3,23782E+14;mar/20;659;YES;1;$9800;ago/03;2010;No
1154;1783;Visa;Credit;4,17288E+15;mar/12;902;YES;2;$11300;fev/08;2009;No
2598;1783;Mastercard;Credit;5,15349E+15;out/19;492;YES;1;$8400;abr/09;2011;No
10;1783;Mastercard;Debit;5,51321E+15;dez/23;789;YES;1;$16597;jan/99;2009;No
4655;1783;Amex;Credit;3,16139E+14;set/20;876;YES;2;$9400;set/08;2008;No
5908;1321;Visa;Debit;4,70994E+15;dez/08;122;YES;1;$18702;dez/07;2007;No
3357;1511;Visa;Debit;4,72544E+15;jun/22;675;YES;1;$24806;jun/07;2007;No
5502;1511;Visa;Debit;4,99299E+15;mai/23;457;YES;1;$19856;nov/07;2011;No
1238;900;Visa;Debit (Prepaid);4,58025E+15;fev/21;397;YES;2;$68;fev/10;2010;No
3412;900;Amex;Credit;3,47103E+14;dez/22;791;YES;2;$4900;jun/09;2009;No
1477;953;Mastercard;Debit;5,77939E+15;fev/22;421;YES;1;$13390;fev/20;2020;No
1396;953;Amex;Credit;3,43259E+14;nov/24;210;YES;3;$8400;fev/20;2020;No
1297;233;Amex;Credit;3,74396E+14;mar/24;659;YES;2;$13700;fev/12;2012;No
3605;406;Discover;Credit;6,3088E+15;nov/24;205;YES;2;$4200;jun/16;2016;No
5167;1069;Visa;Debit;4,43983E+15;ago/20;424;YES;2;$2292;out/09;2015;No
3922;1069;Amex;Credit;3,04372E+14;mar/21;495;YES;1;$8800;jul/10;2010;No
5453;180;Mastercard;Credit;5,88138E+15;mar/23;312;NO;2;$7600;nov/06;2009;No
2888;180;Visa;Credit;4,96673E+15;nov/21;756;YES;2;$6200;mai/05;2018;No
3208;996;Mastercard;Credit;5,78496E+15;jul/23;348;YES;1;$12900;jun/99;2011;No
4661;996;Mastercard;Debit;5,61738E+15;jun/22;228;YES;2;$18820;set/08;2015;No
3277;996;Visa;Debit;4,81329E+15;jul/05;979;YES;2;$16167;jun/04;2009;No
1107;996;Mastercard;Credit;5,65904E+15;jun/23;857;YES;2;$4200;fev/07;2011;No
3310;996;Mastercard;Debit;5,69112E+15;ago/24;190;YES;2;$18861;jun/06;2011;No
1279;996;Visa;Debit;4,80334E+15;fev/20;568;NO;1;$27231;fev/11;2011;No
1778;1866;Visa;Debit;4,27433E+15;dez/24;174;YES;1;$24390;fev/20;2020;No
1478;1866;Mastercard;Debit;5,07351E+15;fev/23;802;YES;1;$3106;fev/20;2020;No
2108;1981;Mastercard;Debit;5,551E+15;jul/20;980;YES;2;$13595;mar/06;2010;No
